id,title,description,release_year,age_certification,runtime,genres,production_country,seasons
1,natus,Pariatur eos magni.,1996,TV-14,219,Horor;Drama;Drama,BT,7
2,rerum,Et autem quo quaerat eius.,1915,TV-14,93,Musical;Melodrama;Gangster,FI,
3,id,Quasi delectus repellat.,1969,C,195,Historical;Noir;Gangster,SM,
4,expedita,Accusamus iure in eum et corrupti ut.,1957,PG-13,139,Horor;Musical;Melodrama,MP,7
5,aperiam,Mollitia sed inventore quisquam aut aliquid id debitis commodi sit.,1904,18,276,Fairy tale;Musical;Tragicomedy,NL,9
6,exercitationem,Magnam necessitatibus qui et sunt unde voluptatem et.,1997,PG,174,Adventure;Detective;Melodrama,JP,
7,culpa,Omnis iste quia.,1905,R18,204,Melodrama;Gangster;Tragicomedy,ML,10
8,autem,Quia nisi enim voluptatum illum ut et qui.,1994,MA15+,63,Comedy;Musical;Noir,GN,2
9,sint,Eum occaecati dicta magni.,1998,U,90,Horor;Drama;Western,KR,9
10,possimus,Recusandae neque qui.,1908,12,117,Gangster;Drama;Political,MN,9
1,natus,Pariatur eos magni.,1996,TV-14,219,Horor;Drama;Drama,BT,7
2,rerum,Et autem quo quaerat eius.,1915,TV-14,93,Musical;Melodrama;Gangster,FI,
3,id,Quasi delectus repellat.,1969,C,195,Historical;Noir;Gangster,SM,
4,expedita,Accusamus iure in eum et corrupti ut.,1957,PG-13,139,Horor;Musical;Melodrama,MP,7
5,aperiam,Mollitia sed inventore quisquam aut aliquid id debitis commodi sit.,1904,18,276,Fairy tale;Musical;Tragicomedy,NL,9
6,exercitationem,Magnam necessitatibus qui et sunt unde voluptatem et.,1997,PG,174,Adventure;Detective;Melodrama,JP,
7,culpa,Omnis iste quia.,1905,R18,204,Melodrama;Gangster;Tragicomedy,ML,10
8,autem,Quia nisi enim voluptatum illum ut et qui.,1994,MA15+,63,Comedy;Musical;Noir,GN,2
9,sint,Eum occaecati dicta magni.,1998,U,90,Horor;Drama;Western,KR,9
10,possimus,Recusandae neque qui.,1908,12,117,Gangster;Drama;Political,MN,9
